Vivado Simulator 2019.2
Time resolution is 1 ps
Program counter is now at:  1
Program counter is now at:  2
Program counter is now at:  3
Program counter is now at:  4
Program counter is now at:  5
Program counter is now at:  6
Program counter is now at:  7
Program counter is now at:  8
Program counter is now at:  9
Program counter is now at: 10
Program counter is now at: 11
Program counter is now at: 12
Program counter is now at: 13
Program counter is now at: 14
Program counter is now at: 15
Program counter is now at: 16
Program counter is now at: 17
Program counter is now at: 18
Program counter is now at: 19
